ZipCode,City,nb of crimes
85003, Phoenix,2203.0
85004, Phoenix,2310.0
85006, Phoenix,3769.0
85007, Phoenix,3002.0
85008, Phoenix,8935.0
85009, Phoenix,7968.0
85012, Phoenix,1202.0
85013, Phoenix,4061.0
85014, Phoenix,3244.0
85015, Phoenix,9828.0
85016, Phoenix,5379.0
85017, Phoenix,7525.0
85018, Phoenix,3642.0
85019, Phoenix,4272.0
85020, Phoenix,4160.0
85021, Phoenix,6283.0
85022, Phoenix,4956.0
85023, Phoenix,5479.0
85024, Phoenix,1270.0
85027, Phoenix,3940.0
85028, Phoenix,1056.0
85029, Phoenix,5722.0
85031, Phoenix,4341.0
85032, Phoenix,5946.0
85033, Phoenix,5955.0
85034, Phoenix,3894.0
85035, Phoenix,6694.0
85037, Phoenix,4276.0
85040, Phoenix,5289.0
85041, Phoenix,7805.0
85042, Phoenix,4906.0
85043, Phoenix,6216.0
85044, Phoenix,2638.0
85045, Phoenix,111.0
85048, Phoenix,1210.0
85050, Phoenix,1379.0
85051, Phoenix,7810.0
85053, Phoenix,2844.0
85054, Phoenix,767.0
85083, Phoenix,449.0
85085, Phoenix,1366.0
85086, Anthem,477.0
85087, New River,116.0
85118, Gold Canyon,
85119, Apache Junction,
85120, Apache Junction,
85121, Casa Blanca,
85122, Casa Grande,
85123, Arizona City,
85128, Coolidge,
85131, Eloy,
85132, Florence,
85137, Kearny,
85138, Maricopa,
85139, Maricopa,
85140, San Tan Valley,
85141, Picacho,
85142, Queen Creek,
85143, San Tan Valley,
85145, Red Rock,
85147, Sacaton,
85172, Stanfield,
85173, Superior,
85193, Casa Grande,
85194, Casa Grande,
85201, Mesa,3.0
85202, Mesa,10.0
85203, Mesa,1.0
85204, Mesa,3.0
85205, Mesa,
85206, Mesa,
85207, Mesa,
85208, Mesa,1.0
85209, Mesa,
85210, Mesa,5.0
85212, Mesa,1.0
85213, Mesa,4.0
85215, Mesa,2.0
85224, Chandler,2.0
85225, Chandler,7.0
85226, Chandler,3.0
85233, Gilbert,2.0
85234, Gilbert,2.0
85248, Chandler,1.0
85249, Chandler,
85250, Scottsdale,1.0
85251, Scottsdale,79.0
85253, Paradise Valley,57.0
85254, Phoenix,2000.0
85255, Scottsdale,63.0
85256, Scottsdale,
85257, Scottsdale,5.0
85258, Scottsdale,2.0
85259, Scottsdale,
85260, Scottsdale,15.0
85262, Scottsdale,1.0
85263, Rio Verde,
85264, Fort McDowell,
85266, Scottsdale,1.0
85268, Fountain Hills,1.0
85281, Tempe,12.0
85282, Tempe,9.0
85283, Tempe,3.0
85284, Tempe,
85286, Chandler,2.0
85295, Gilbert,2.0
85296, Gilbert,3.0
85297, Gilbert,2.0
85298, Gilbert,
85301, Glendale,49.0
85302, Glendale,20.0
85303, Glendale,16.0
85304, Glendale,407.0
85305, Glendale,3.0
85306, Glendale,625.0
85307, Glendale,294.0
85308, Glendale,1446.0
85309, Glendale,
85310, Phoenix,482.0
85320, Aguila,
85322, Arlington,
85323, Avondale,10.0
85326, Buckeye,3.0
85331, Phoenix,413.0
85335, El Mirage,1.0
85337, Gila Bend,1.0
85338, Goodyear,4.0
85339, Phoenix,3472.0
85340, Litchfield Park,
85342, Morristown,
85343, Palo Verde,
85345, Peoria,8.0
85351, Sun City,1.0
85353, Phoenix,1876.0
85354, Tonopah,
85355, Waddell,1.0
85361, Wittmann,
85363, Youngtown,2.0
85373, Sun City,
85374, Surprise,
85375, Sun City West,
85377, Carefree,
85379, Surprise,
85381, Peoria,1.0
85382, Peoria,2.0
85383, Peoria,4.0
85387, Surprise,
85388, Surprise,
85390, Wickenburg,
85392, Avondale,10.0
85395, Goodyear,2.0
85396, Buckeye,13.0
85618, Mammoth,
85623, Oracle,
85631, San Manuel,
