Zip Code,City,Number of returns,Amount,Average Income
85003, Phoenix,"3,900","290,006",74360.51
85004, Phoenix,"2,960","232,765",78636.82
85006, Phoenix,"9,680","352,359",36400.72
85007, Phoenix,"5,300","278,695",52583.96
85008, Phoenix,"23,140","797,391",34459.42
85009, Phoenix,"15,940","443,128",27799.75
85012, Phoenix,"3,800","407,578",107257.37
85013, Phoenix,"9,800","707,257",72169.08
85014, Phoenix,"12,160","765,897",62984.95
85015, Phoenix,"15,590","545,591",34996.22
85016, Phoenix,"17,560","1,677,786",95545.9
85017, Phoenix,"14,110","376,062",26652.16
85018, Phoenix,"17,200","2,507,921",145809.36
85019, Phoenix,"10,240","311,612",30430.86
85020, Phoenix,"15,970","1,162,716",72806.26
85021, Phoenix,"16,180","1,031,283",63738.13
85022, Phoenix,"23,110","1,416,256",61283.25
85023, Phoenix,"15,340","907,859",59182.46
85024, Phoenix,"12,050","774,926",64309.21
85027, Phoenix,"17,710","872,651",49274.48
85028, Phoenix,"10,090","1,062,222",105274.73
85029, Phoenix,"19,460","784,961",40337.15
85031, Phoenix,"11,560","322,550",27902.25
85032, Phoenix,"30,860","1,646,489",53353.5
85033, Phoenix,"21,280","615,610",28929.04
85034, Phoenix,"2,090","81,778",39128.23
85035, Phoenix,"19,510","549,251",28152.28
85037, Phoenix,"19,830","708,537",35730.56
85040, Phoenix,"11,580","362,724",31323.32
85041, Phoenix,"24,170","923,249",38198.14
85042, Phoenix,"18,060","850,795",47109.36
85043, Phoenix,"12,720","482,662",37945.13
85044, Phoenix,"19,910","1,572,396",78975.19
85045, Phoenix,"3,330","407,820",122468.47
85048, Phoenix,"16,170","1,717,586",106220.53
85050, Phoenix,"13,920","1,404,331",100885.85
85051, Phoenix,"18,110","633,245",34966.59
85053, Phoenix,"13,590","602,778",44354.53
85054, Phoenix,"3,640","335,775",92245.88
85083, Phoenix,"7,980","811,272",101663.16
85085, Phoenix,"10,650","977,393",91773.99
85086, Anthem,"17,160","1,517,264",88418.65
85087, New River,"3,880","304,877",78576.55
85118, Gold Canyon,"5,300","459,022",86607.92
85119, Apache Junction,"8,160","422,299",51752.33
85120, Apache Junction,"10,810","419,037",38763.83
85121, Casa Blanca,,,
85122, Casa Grande,"19,980","893,721",44730.78
85123, Arizona City,,,
85128, Coolidge,"5,380","215,822",40115.61
85131, Eloy,"3,980","161,827",40660.05
85132, Florence,"7,640","376,185",49238.87
85137, Kearny,780,"34,882",44720.51
85138, Maricopa,"15,070","833,646",55318.25
85139, Maricopa,"7,100","341,695",48126.06
85140, San Tan Valley,"14,330","823,243",57448.92
85141, Picacho,,,
85142, Queen Creek,"25,800","1,986,140",76982.17
85143, San Tan Valley,"14,280","715,835",50128.5
85145, Red Rock,900,"47,299",52554.44
85147, Sacaton,,,
85172, Stanfield,740,"28,089",37958.11
85173, Superior,960,"39,723",41378.13
85193, Casa Grande,"1,210","43,454",35912.4
85194, Casa Grande,"2,400","155,427",64761.25
85201, Mesa,"20,310","741,899",36528.75
85202, Mesa,"18,250","810,117",44389.97
85203, Mesa,"15,170","783,237",51630.65
85204, Mesa,"25,150","1,003,571",39903.42
85205, Mesa,"17,720","1,110,342",62660.38
85206, Mesa,"15,250","775,216",50833.84
85207, Mesa,"20,120","1,655,501",82281.36
85208, Mesa,"14,530","633,359",43589.75
85209, Mesa,"17,170","1,018,546",59321.26
85210, Mesa,"16,400","639,122",38970.85
85212, Mesa,"14,850","1,069,706",72034.07
85213, Mesa,"14,290","1,162,828",81373.55
85215, Mesa,"7,680","591,774",77053.91
85224, Chandler,"22,340","1,369,684",61310.83
85225, Chandler,"32,130","1,686,296",52483.54
85226, Chandler,"18,790","1,485,945",79081.69
85233, Gilbert,"17,790","1,258,570",70745.92
85234, Gilbert,"21,760","1,725,705",79306.3
85248, Chandler,"16,800","1,787,216",106381.9
85249, Chandler,"18,720","2,110,080",112717.95
85250, Scottsdale,"9,050","808,866",89377.46
85251, Scottsdale,"20,450","1,931,191",94434.77
85253, Paradise Valley,"8,080","3,816,652",472357.92
85254, Phoenix,"22,930","2,524,184",110082.16
85255, Scottsdale,"20,030","4,621,284",230718.12
85256, Scottsdale,"2,120","84,258",39744.34
85257, Scottsdale,"14,990","814,483",54335.09
85258, Scottsdale,"12,570","1,730,005",137629.67
85259, Scottsdale,"10,560","1,817,035",172067.71
85260, Scottsdale,"18,880","2,169,552",114912.71
85262, Scottsdale,"5,380","1,751,971",325645.17
85263, Rio Verde,"1,010","143,177",141759.41
85264, Fort McDowell,690,"48,193",69844.93
85266, Scottsdale,"5,050","1,091,206",216080.4
85268, Fountain Hills,"10,950","1,153,225",105317.35
85281, Tempe,"21,290","997,509",46853.41
85282, Tempe,"24,450","1,240,870",50751.33
85283, Tempe,"21,590","1,179,223",54618.94
85284, Tempe,"9,620","1,367,529",142154.78
85286, Chandler,"18,460","1,816,290",98390.57
85295, Gilbert,"19,360","1,569,852",81087.4
85296, Gilbert,"19,790","1,563,271",78992.98
85297, Gilbert,"12,970","1,175,802",90655.51
85298, Gilbert,"14,620","1,558,318",106588.1
85301, Glendale,"22,810","650,845",28533.32
85302, Glendale,"17,200","700,162",40707.09
85303, Glendale,"13,220","511,962",38726.32
85304, Glendale,"12,170","652,615",53624.9
85305, Glendale,"5,710","315,651",55280.39
85306, Glendale,"10,910","542,104",49688.73
85307, Glendale,"4,030","177,535",44053.35
85308, Glendale,"30,300","2,028,470",66946.2
85309, Glendale,340,"7,378",21700.0
85310, Phoenix,"9,190","795,698",86583.03
85320, Aguila,,,
85322, Arlington,250,"11,428",45712.0
85323, Avondale,"16,920","669,389",39562.0
85326, Buckeye,"23,110","1,086,829",47028.52
85331, Phoenix,"13,160","1,610,865",122406.16
85335, El Mirage,"13,870","521,719",37614.92
85337, Gila Bend,940,"33,856",36017.02
85338, Goodyear,"22,740","1,379,755",60675.24
85339, Phoenix,"18,560","936,705",50469.02
85340, Litchfield Park,"13,010","1,059,256",81418.6
85342, Morristown,500,"30,647",61294.0
85343, Palo Verde,,,
85345, Peoria,"25,220","1,081,203",42870.86
85351, Sun City,"13,930","654,380",46976.31
85353, Phoenix,"16,010","648,693",40517.99
85354, Tonopah,"2,470","106,249",43015.79
85355, Waddell,"4,930","361,314",73288.84
85361, Wittmann,"2,590","129,945",50171.81
85363, Youngtown,"2,780","99,882",35928.78
85373, Sun City,"8,220","453,348",55151.82
85374, Surprise,"17,910","1,033,472",57703.63
85375, Sun City West,"13,390","857,708",64055.86
85377, Carefree,,,
85379, Surprise,"18,140","1,066,461",58790.57
85381, Peoria,"12,300","791,320",64334.96
85382, Peoria,"19,310","1,236,490",64033.66
85383, Peoria,"23,770","2,554,689",107475.35
85387, Surprise,"5,100","357,393",70077.06
85388, Surprise,"11,080","658,012",59387.36
85390, Wickenburg,"2,900","176,544",60877.24
85392, Avondale,"16,430","850,212",51747.53
85395, Goodyear,"12,810","1,102,143",86037.7
85396, Buckeye,"8,840","702,586",79478.05
85618, Mammoth,560,"20,603",36791.07
85623, Oracle,"2,140","141,512",66127.1
85631, San Manuel,"1,220","47,707",39104.1
